Population: 200, Number of Generations: 100
Generation 88, Best fitness: 29.701046138920972, Average fitness: 22.841877615008435
Generation 89, Best fitness: 29.623990380664374, Average fitness: 22.820182687484895
Generation 90, Best fitness: 29.777059762619853, Average fitness: 22.79351962332149
Generation 91, Best fitness: 29.623990380664374, Average fitness: 22.926948408656628
Generation 92, Best fitness: 30.04478328642388, Average fitness: 22.819779432612222
Generation 93, Best fitness: 30.04478328642388, Average fitness: 22.886168765193837
Generation 94, Best fitness: 30.18014026297671, Average fitness: 22.957549662577698
Generation 95, Best fitness: 30.316807982338116, Average fitness: 23.11938164805506
Generation 96, Best fitness: 30.316807982338116, Average fitness: 23.175093584787575
Generation 97, Best fitness: 30.316807982338116, Average fitness: 23.02425696821921
Generation 98, Best fitness: 30.316807982338116, Average fitness: 22.887147885969366
Generation 99, Best fitness: 30.316807982338116, Average fitness: 22.802550781170535
