Generation 88, Best fitness: 32.86588558887367, Average fitness: 25.947784696289357
Generation 89, Best fitness: 33.29854086692849, Average fitness: 25.992736604278107
Generation 90, Best fitness: 33.29854086692849, Average fitness: 25.989751632408137
Generation 91, Best fitness: 33.16313834706783, Average fitness: 25.978811746567132
Generation 92, Best fitness: 33.16313834706783, Average fitness: 25.976860455914597
Generation 93, Best fitness: 32.71388441763413, Average fitness: 25.93896400087284
Generation 94, Best fitness: 32.71388441763413, Average fitness: 25.941454801352776
Generation 95, Best fitness: 32.55599580516548, Average fitness: 25.95548759176741
Generation 96, Best fitness: 32.7054443995319, Average fitness: 25.94801279970949
Generation 97, Best fitness: 32.7054443995319, Average fitness: 25.996881912701912
Generation 98, Best fitness: 33.37976964441877, Average fitness: 26.00098504938479
Generation 99, Best fitness: 32.77680333960008, Average fitness: 26.04005239785761
Generation 100, Best fitness: 32.77680333960008, Average fitness: 26.03121908049826
Generation 101, Best fitness: 32.946006974921076, Average fitness: 26.028597777291026
Generation 102, Best fitness: 33.04618325467605, Average fitness: 26.064211384218527
Generation 103, Best fitness: 32.946006974921076, Average fitness: 26.07191180427704
Generation 104, Best fitness: 32.946006974921076, Average fitness: 26.08303063015943
Generation 105, Best fitness: 32.931292215800454, Average fitness: 26.08877716993729
Generation 106, Best fitness: 33.38268011859842, Average fitness: 26.06930104562374
Generation 107, Best fitness: 33.15479506767245, Average fitness: 26.051960237756962
Generation 108, Best fitness: 33.351126966553814, Average fitness: 26.02747057285095
Generation 109, Best fitness: 33.227471847625, Average fitness: 25.957341233317667
Generation 110, Best fitness: 32.9124877461707, Average fitness: 25.950107201706743
Generation 111, Best fitness: 32.9124877461707, Average fitness: 25.95319087147757
Generation 112, Best fitness: 33.66241691227357, Average fitness: 25.963881845603137
Generation 113, Best fitness: 33.66241691227357, Average fitness: 25.998372256198273
Generation 114, Best fitness: 33.37632603916801, Average fitness: 25.97397432890586
Generation 115, Best fitness: 33.119853466905035, Average fitness: 25.995418639274845
Generation 116, Best fitness: 33.138009078844476, Average fitness: 26.02862804457268
Generation 117, Best fitness: 32.95027155308543, Average fitness: 26.06151444102667
Generation 118, Best fitness: 33.30717225066727, Average fitness: 26.022070251512197
Generation 119, Best fitness: 33.30717225066727, Average fitness: 25.968685945520505
Generation 120, Best fitness: 33.30717225066727, Average fitness: 26.03835563791097
Generation 121, Best fitness: 33.36988654259964, Average fitness: 26.054473379241276
Generation 122, Best fitness: 32.937967867352526, Average fitness: 26.095235974814337
Generation 123, Best fitness: 32.91103574369775, Average fitness: 26.07545062036738
Generation 124, Best fitness: 32.94720053253782, Average fitness: 26.084016208207636
Generation 125, Best fitness: 33.1880184916742, Average fitness: 26.040669088829475
Generation 126, Best fitness: 33.1880184916742, Average fitness: 26.028742255827588
Generation 127, Best fitness: 33.19505681318767, Average fitness: 26.0704229231654
Generation 128, Best fitness: 33.15980831273151, Average fitness: 26.0686490242817
Generation 129, Best fitness: 32.89483730535722, Average fitness: 26.066477995107288
Generation 130, Best fitness: 33.452092274719654, Average fitness: 26.064003743229375
Generation 131, Best fitness: 33.452092274719654, Average fitness: 26.06017211277443
Generation 132, Best fitness: 33.452092274719654, Average fitness: 26.090178044762737
Generation 133, Best fitness: 33.15025121142266, Average fitness: 26.018113422126955
Generation 134, Best fitness: 33.136919304664644, Average fitness: 25.970332333623436
Generation 135, Best fitness: 33.136919304664644, Average fitness: 25.970212959417704
Generation 136, Best fitness: 33.136919304664644, Average fitness: 25.95805302107049
Generation 137, Best fitness: 33.039660553923426, Average fitness: 25.96756428310667
Generation 138, Best fitness: 33.09868483365949, Average fitness: 25.932374645494747
Generation 139, Best fitness: 33.09868483365949, Average fitness: 25.933224753584376
Generation 140, Best fitness: 33.29809180327081, Average fitness: 25.924498500562382
Generation 141, Best fitness: 33.29809180327081, Average fitness: 26.004295748501836
Generation 142, Best fitness: 33.29809180327081, Average fitness: 26.010036591190776
Generation 143, Best fitness: 33.2724721670105, Average fitness: 25.989361455714654
Generation 144, Best fitness: 32.93668120644449, Average fitness: 26.04220996805617
Generation 145, Best fitness: 32.93668120644449, Average fitness: 26.059302297339922
Generation 146, Best fitness: 32.93668120644449, Average fitness: 26.095620073586005
Generation 147, Best fitness: 33.19478677385196, Average fitness: 26.065622130902565
Generation 148, Best fitness: 33.19478677385196, Average fitness: 25.9953161110989
Generation 149, Best fitness: 33.19478677385196, Average fitness: 25.942422546070418
Generation 150, Best fitness: 32.94285851127218, Average fitness: 25.92717241679394
Generation 151, Best fitness: 33.251055232090046, Average fitness: 25.93283106338278
Generation 152, Best fitness: 33.251055232090046, Average fitness: 25.910663986640017
Generation 153, Best fitness: 33.18168999424267, Average fitness: 25.92817208051002
Generation 154, Best fitness: 33.23312344018956, Average fitness: 25.925713449674618
Generation 155, Best fitness: 33.19288616861218, Average fitness: 25.95682060539429
Generation 156, Best fitness: 33.19288616861218, Average fitness: 25.99607674075168
Generation 157, Best fitness: 32.96678534176776, Average fitness: 25.946311293767465
Generation 158, Best fitness: 32.96678534176776, Average fitness: 25.89781107486633
Generation 159, Best fitness: 33.03284347708685, Average fitness: 25.928117851115516
Generation 160, Best fitness: 32.96678534176776, Average fitness: 25.961142492367152
Generation 161, Best fitness: 32.76470495941703, Average fitness: 25.968523977373735
