Population: 300, Number of Generations: 400
Generation 88, Best fitness: 28.63345373238534, Average fitness: 22.17498861049844
Generation 89, Best fitness: 28.63345373238534, Average fitness: 22.098563653282717
Generation 90, Best fitness: 28.63345373238534, Average fitness: 22.004921475331848
Generation 91, Best fitness: 28.730733334446782, Average fitness: 21.99587398906864
Generation 92, Best fitness: 28.730733334446782, Average fitness: 22.14830040294569
Generation 93, Best fitness: 28.987351512926466, Average fitness: 22.17804074829078
Generation 94, Best fitness: 28.987351512926466, Average fitness: 22.107005431730194
Generation 95, Best fitness: 28.987351512926466, Average fitness: 22.073376933594748
Generation 96, Best fitness: 28.43822665885302, Average fitness: 22.169975012424594
Generation 97, Best fitness: 28.243904438409704, Average fitness: 22.191750319401898
Generation 98, Best fitness: 28.243904438409704, Average fitness: 22.277613591382238
Generation 99, Best fitness: 28.243904438409704, Average fitness: 22.354871946815024
Generation 100, Best fitness: 28.243904438409704, Average fitness: 22.329597492950512
Generation 101, Best fitness: 28.243904438409704, Average fitness: 22.320688573948193
Generation 102, Best fitness: 28.243904438409704, Average fitness: 22.3441305333655
Generation 103, Best fitness: 28.243904438409704, Average fitness: 22.369049065841956
Generation 104, Best fitness: 28.223819840250698, Average fitness: 22.213506385188715
Generation 105, Best fitness: 28.277670843116972, Average fitness: 22.110166371016167
Generation 106, Best fitness: 28.173112636236063, Average fitness: 22.083839924577298
Generation 107, Best fitness: 28.30480274642551, Average fitness: 21.992832038463632
Generation 108, Best fitness: 28.30480274642551, Average fitness: 21.94319096842484
Generation 109, Best fitness: 27.918935080097533, Average fitness: 21.856531411206113
Generation 110, Best fitness: 27.6629532198322, Average fitness: 21.783269993377296
Generation 111, Best fitness: 27.7381517035353, Average fitness: 21.834055555134587
Generation 112, Best fitness: 27.92972134425735, Average fitness: 21.901294326652085
Generation 113, Best fitness: 27.92972134425735, Average fitness: 21.918534034463388
Generation 114, Best fitness: 27.92972134425735, Average fitness: 21.97422113576885
Generation 115, Best fitness: 27.653269147854257, Average fitness: 22.092589473940038
Generation 116, Best fitness: 28.051979780659234, Average fitness: 22.184838164386175
Generation 117, Best fitness: 28.051979780659234, Average fitness: 22.107979489231692
Generation 118, Best fitness: 28.193908593529745, Average fitness: 22.15643910244872
Generation 119, Best fitness: 27.721743702856976, Average fitness: 22.25088340187712
Generation 120, Best fitness: 27.721743702856976, Average fitness: 22.29281791628221
Generation 121, Best fitness: 27.826543319872314, Average fitness: 22.377302971460292
Generation 122, Best fitness: 27.971121462090316, Average fitness: 22.16585760005695
Generation 123, Best fitness: 27.767804307112538, Average fitness: 22.157493390459454
Generation 124, Best fitness: 28.10672859446739, Average fitness: 22.274405826893975
Generation 125, Best fitness: 28.601419364036644, Average fitness: 22.241682179577033
Generation 126, Best fitness: 28.10672859446739, Average fitness: 22.361864378374165
Generation 127, Best fitness: 28.182491568336665, Average fitness: 22.38838931053111
Generation 128, Best fitness: 28.10608748786835, Average fitness: 22.3166857040959
Generation 129, Best fitness: 28.323022297308952, Average fitness: 22.291336954065937
Generation 130, Best fitness: 28.212399576570576, Average fitness: 22.318907078575496
Generation 131, Best fitness: 28.10608748786835, Average fitness: 22.329328186869628
Generation 132, Best fitness: 28.028190289482062, Average fitness: 22.256242133859026
Generation 133, Best fitness: 28.028190289482062, Average fitness: 22.192203576210826
Generation 134, Best fitness: 28.185481020598694, Average fitness: 22.20639355286353
Generation 135, Best fitness: 28.028190289482062, Average fitness: 22.194012952004613
Generation 136, Best fitness: 27.938993172691674, Average fitness: 21.945621370504046
Generation 137, Best fitness: 28.04664891171226, Average fitness: 22.00216308479237
Generation 138, Best fitness: 27.99570006069417, Average fitness: 22.02613869040045
Generation 139, Best fitness: 27.99570006069417, Average fitness: 22.18910614216263
Generation 140, Best fitness: 28.19617255793737, Average fitness: 22.128144043509625
Generation 141, Best fitness: 28.55729510003558, Average fitness: 22.100543892862976
Generation 142, Best fitness: 28.55729510003558, Average fitness: 21.959279457026806
Generation 143, Best fitness: 28.35754114127306, Average fitness: 21.906825005148047
Generation 144, Best fitness: 28.26875193646495, Average fitness: 21.925745722265795
Generation 145, Best fitness: 28.59127475563222, Average fitness: 21.95586072758366
Generation 146, Best fitness: 28.59127475563222, Average fitness: 21.941745734043
Generation 147, Best fitness: 28.59127475563222, Average fitness: 22.01777469096569
Generation 148, Best fitness: 28.59127475563222, Average fitness: 22.097144985479517
Generation 149, Best fitness: 28.59127475563222, Average fitness: 22.315889883671904
Generation 150, Best fitness: 28.59127475563222, Average fitness: 22.112529759296947
Generation 151, Best fitness: 28.59127475563222, Average fitness: 22.038487431358202
Generation 152, Best fitness: 28.59127475563222, Average fitness: 21.945282312316532
Generation 153, Best fitness: 28.59127475563222, Average fitness: 21.915527674950233
Generation 154, Best fitness: 28.68613500956132, Average fitness: 21.890085082538203
Generation 155, Best fitness: 28.284622220402483, Average fitness: 21.983501940773603
